epoch,accuracy,loss,val_accuracy,val_loss
0,0.36091890931129456,1.3277357816696167,0.42363113164901733,1.2727121114730835
1,0.6468309164047241,0.9911200404167175,0.6541786789894104,0.9248027801513672
2,0.797121524810791,0.5868938565254211,0.7118155360221863,0.8008174896240234
3,0.846388041973114,0.4259497821331024,0.7146974205970764,0.812450110912323
4,0.8765568733215332,0.3418909013271332,0.6945244669914246,0.8262667059898376
5,0.9039579033851624,0.28032320737838745,0.6974063515663147,0.8974695801734924
6,0.9230556488037109,0.23517177999019623,0.7060518860816956,0.9496164321899414
7,0.9338499903678894,0.19789542257785797,0.6887608170509338,1.0104987621307373
8,0.94768887758255,0.1712234765291214,0.6743515729904175,1.0802463293075562
9,0.9554386734962463,0.15146896243095398,0.6772334575653076,1.0876282453536987
10,0.9615278244018555,0.13385669887065887,0.6829971075057983,1.131758213043213
11,0.9654027223587036,0.11688537150621414,0.680115282535553,1.2167795896530151
12,0.9642956256866455,0.11457910388708115,0.6772334575653076,1.2507108449935913
13,0.973706066608429,0.09363247454166412,0.6858789920806885,1.269094467163086
14,0.9701079726219177,0.0928732305765152,0.6743515729904175,1.394046664237976
15,0.9748131632804871,0.08423624187707901,0.6772334575653076,1.3746944665908813
16,0.9731525182723999,0.08881406486034393,0.6599423885345459,1.464060664176941
17,0.974259614944458,0.08264399319887161,0.6772334575653076,1.4750813245773315
18,0.9745364189147949,0.07481865584850311,0.6714697480201721,1.501204490661621
19,0.9767506122589111,0.07486224919557571,0.680115282535553,1.5220433473587036
20,0.973706066608429,0.07593238353729248,0.6714697480201721,1.5609041452407837
21,0.9775809645652771,0.06988988816738129,0.6858789920806885,1.504151463508606
22,0.975089967250824,0.06839809566736221,0.6743515729904175,1.6027828454971313
23,0.975643515586853,0.06607246398925781,0.6685879230499268,1.5965734720230103
24,0.9773041605949402,0.06520602852106094,0.6772334575653076,1.644881248474121
